# side,index,x,y
0.000000000000000000e+00,0.000000000000000000e+00,1.590844155844155523e+02,3.317077922077922949e+02
0.000000000000000000e+00,1.000000000000000000e+00,7.425649350649349572e+02,5.910324675324675354e+02
0.000000000000000000e+00,2.000000000000000000e+00,1.103292207792207591e+03,5.577857142857143344e+02
0.000000000000000000e+00,3.000000000000000000e+00,9.520194805194803394e+02,8.885909090909091219e+02
0.000000000000000000e+00,4.000000000000000000e+00,1.365941558441558072e+03,2.901493506493507084e+02
0.000000000000000000e+00,5.000000000000000000e+00,1.713370129870129631e+03,5.428246753246753542e+02
0.000000000000000000e+00,6.000000000000000000e+00,5.696818181818180165e+02,1.322272727272727479e+02
0.000000000000000000e+00,7.000000000000000000e+00,1.010201298701298583e+03,3.483311688311688386e+02
1.000000000000000000e+00,0.000000000000000000e+00,2.172662337662331993e+02,3.300454545454546178e+02
1.000000000000000000e+00,1.000000000000000000e+00,3.203311688311682701e+02,5.478116883116883855e+02
1.000000000000000000e+00,2.000000000000000000e+00,6.677597402597398286e+02,5.644350649350649292e+02
1.000000000000000000e+00,3.000000000000000000e+00,4.649545454545450411e+02,8.536818181818182438e+02
1.000000000000000000e+00,4.000000000000000000e+00,1.153162337662337450e+03,3.716038961038962043e+02
1.000000000000000000e+00,5.000000000000000000e+00,1.269525974025973937e+03,6.259415584415585272e+02
1.000000000000000000e+00,6.000000000000000000e+00,6.045909090909085535e+02,1.987207792207792636e+02
1.000000000000000000e+00,7.000000000000000000e+00,9.087987012987009621e+02,4.181493506493507084e+02
